start
done
         845400 function calls (831173 primitive calls) in 0.725 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      498    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      494    0.000    0.000    0.013    0.000 re.py:180(search)
      492    0.001    0.000    0.005    0.000 rcsetup.py:358(validate_color)
      491    0.000    0.000    0.005    0.000 colors.py:121(is_color_like)
      484    0.000    0.000    0.000    0.000 version.py:332(_parse_local_version)
      484    0.002    0.000    0.002    0.000 version.py:343(_cmpkey)
      479    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
      474    0.000    0.000    0.000    0.000 __init__.py:2553(is_version_line)
      471    0.000    0.000    0.003    0.000 pyparsing.py:1167(copy)
      467    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      463    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      454    0.001    0.000    0.001    0.000 function_base.py:2031(__init__)
      451    0.000    0.000    0.001    0.000 artist.py:1204(_replace_path)
      449    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      448    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      444    0.000    0.000    0.000    0.000 cartocolorspalette.py:39(__init__)
      440    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      440    0.003    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
      432    0.000    0.000    0.000    0.000 colors.py:204(<genexpr>)
      429    0.000    0.000    0.003    0.000 pyparsing.py:1144(copy)
      410    0.001    0.000    0.017    0.000 artist.py:1142(get_valid_values)
      410    0.000    0.000    0.000    0.000 artist.py:1235(aliased_name)
      382    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      382    0.000    0.000    0.000    0.000 inspect.py:504(_is_wrapper)
      382    0.001    0.000    0.001    0.000 inspect.py:484(unwrap)
      382    0.000    0.000    0.015    0.000 inspect.py:2829(from_callable)
      382    0.000    0.000    0.015    0.000 inspect.py:3081(signature)
      381    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
